sim_id,makespan,total_penalty,late_harvests,status,error
523,42.0,30.74999953963647,3.0,OK,
524,,,,ERROR,Unable to retrieve attribute 'X'
525,,,,ERROR,Unable to retrieve attribute 'X'
526,,,,ERROR,Unable to retrieve attribute 'X'
527,,,,ERROR,Unable to retrieve attribute 'X'
528,40.0,21.74999723410069,11.0,OK,
529,41.0,31.499999539636473,6.0,OK,
530,41.0,26.999987744338668,8.0,OK,
531,42.0,32.99999953963647,4.0,OK,
532,,,,ERROR,Unable to retrieve attribute 'X'
533,41.0,28.49999769446422,6.0,OK,
534,40.0,19.49999814843656,10.0,OK,
535,,,,ERROR,Unable to retrieve attribute 'X'
536,41.0,23.99999201814406,6.0,OK,
537,,,,ERROR,Unable to retrieve attribute 'X'
538,40.0,17.99999861890941,11.0,OK,
539,40.0,20.999997666342914,11.0,OK,
540,,,,ERROR,Unable to retrieve attribute 'X'
541,41.0,31.49999711160755,7.0,OK,
542,40.0,20.999998154727436,11.0,OK,
543,,,,ERROR,Unable to retrieve attribute 'X'
544,42.0,24.749998525113302,5.0,OK,
545,40.99999757516182,25.499999837983935,8.0,OK,
546,40.0,23.99998680933739,11.0,OK,
547,40.0,25.49999776394191,11.0,OK,
548,40.0,14.99999953591834,10.0,OK,
549,41.0,27.74999752237539,8.0,OK,
550,40.0,16.499999074734244,11.0,OK,
551,,,,ERROR,Unable to retrieve attribute 'X'
552,,,,ERROR,Unable to retrieve attribute 'X'
553,,,,ERROR,Unable to retrieve attribute 'X'
554,40.0,18.74999815854588,11.0,OK,
555,,,,ERROR,Unable to retrieve attribute 'X'
556,,,,ERROR,Unable to retrieve attribute 'X'
557,,,,ERROR,Unable to retrieve attribute 'X'
558,,,,ERROR,Unable to retrieve attribute 'X'
559,41.0,28.499997698182348,7.0,OK,
560,40.0,19.49999908703187,11.0,OK,
561,,,,ERROR,Unable to retrieve attribute 'X'
562,,,,ERROR,Unable to retrieve attribute 'X'
563,,,,ERROR,Unable to retrieve attribute 'X'
564,40.0,17.24999861890941,11.0,OK,
565,,,,ERROR,Unable to retrieve attribute 'X'
566,41.0,30.749997237818818,8.0,OK,
567,40.0,17.24999990548712,10.0,OK,
568,40.0,21.74999907927294,11.0,OK,
569,,,,ERROR,Unable to retrieve attribute 'X'
570,40.0,20.24999723410069,11.0,OK,
571,,,,ERROR,Unable to retrieve attribute 'X'
572,,,,ERROR,Unable to retrieve attribute 'X'
573,41.0,21.74999815854588,5.0,OK,
574,,,,ERROR,Unable to retrieve attribute 'X'
575,,,,ERROR,Unable to retrieve attribute 'X'
576,,,,ERROR,Unable to retrieve attribute 'X'
577,40.0,18.749997698182348,12.0,OK,
578,,,,ERROR,Unable to retrieve attribute 'X'
579,,,,ERROR,Unable to retrieve attribute 'X'
